UNITID,C2MORM,C2MORT,C2MORW,CTOTALT,CS2MORM,CS2MORT,CS2MORW,CSTOTLT,EF2MORM,EF2MORT,EF2MORW,EFNRALM,EFNRALT,EFNRALW,NRADJCT,NRCMTOT,NREXCLU,NRREVCT,PGEXCLU,SSADJCT,SSCMTOT,SSEXCLU,SSREVCT,FEE2,FEE3,HRCHG2,HRCHG3,TUITION2,TUITION3,HR2MORM,HR2MORT,HR2MORW,HRTOTLT,SABDTYPE,AGRNT_A,AGRNT_N,AGRNT_P,AGRNT_T,AIDFSIN,AIDFSIP,ANYAIDN,ANYAIDP,FGRNT_A,FGRNT_N,FGRNT_P,IGRNT_A,IGRNT_N,IGRNT_P,IGRNT_T,LOAN_A,LOAN_N,LOAN_P,OFGRT_A,OFGRT_N,OFGRT_P,OFGRT_T,PGRNT_A,PGRNT_N,PGRNT_P,PGRNT_T,SCFA1N,SCFA1P,SCFA2,SCFA2DG,SCUGDGSK,SCUGFFN,SCUGNDGS,SCUGRAD,SGRNT_A,SGRNT_N,SGRNT_P,SGRNT_T,UAGRNTA,UAGRNTN,UAGRNTP,UAGRNTT,UDGAGRNTA,UDGAGRNTN,UDGAGRNTP,UDGAGRNTT,UDGPGRNTP,UNDAGRNTN,UNDAGRNTP,UNDAGRNTT,UPGRNTA,UPGRNTN,UPGRNTP,UPGRNTT,SCUGFFP,year
228194,4.0,8.0,4.0,297.0,4.0,8.0,4.0,297.0,4.6666665,16.0,11.333333,0.6666667,4.0,3.3333333,37.166664,19.0,0.0,37.166664,0.0,8.333334,4.0,0.0,8.666667,730.0,750.0,350.0,508.0,10659.0,14880.0,0.0,0.0,0.0,21.727272,0.425,6345.0,122.0,87.0,800633.5,128.0,93.0,131.0,94.0,5148.5,86.0,66.0,3040.0,22.0,22.0,36003.0,6609.0,45.0,53.0,1333.5,34.0,25.0,34722.5,4957.0,73.0,52.0,358504.0,258.0,15.0,1705.0,1415.0,605.0,133.0,0.0,669.0,3104.0,15.0,13.0,37692.5,5631.0,460.0,72.0,2774984.0,5784.0,447.0,77.0,2727827.0,45.0,0.0,0.0,0.0,4633.0,282.0,41.0,1269351.0,19.0,2022
228200,0.30769232,1.8461539,1.5384616,77.4359,1.0,6.0,5.0,245.0,0.8888889,1.8888888,1.0,0.0,0.0,0.0,10.0,4.0,0.0,10.0,0.0,9.0,8.0,0.0,9.0,730.0,750.0,350.0,508.0,10659.0,14880.0,0.0,0.0,0.0,28.096802,2.2173913,5836.0,213.0,95.0,1243157.0,218.0,97.0,219.0,97.0,5714.0,213.0,95.0,3040.0,0.0,0.0,0.0,7604.0,187.0,83.0,712.0,97.0,43.0,69050.0,5389.0,213.0,95.0,1147955.0,258.0,15.0,1705.0,1415.0,559.0,225.0,0.0,559.0,335.0,78.0,35.0,26152.0,5672.0,527.0,94.0,2989171.0,5672.0,527.0,94.0,2989171.0,85.0,0.0,0.0,0.0,4823.0,477.0,85.0,2300505.0,40.0,2022
228219,0.9846154,1.3538462,0.36923078,68.43077,4.0,6.0,2.0,333.0,3.8888888,7.111111,3.2222223,0.0,0.0,0.0,100.0,78.0,0.0,100.0,0.0,13.0,9.0,0.0,13.0,730.0,750.0,350.0,508.0,10659.0,14880.0,0.0,0.0,0.0,28.096802,3.1052632,5632.0,259.0,69.0,1458648.0,265.0,70.0,343.0,91.0,5480.0,259.0,69.0,3040.0,0.0,0.0,0.0,7729.0,225.0,60.0,815.0,124.0,33.0,101099.0,5089.0,259.0,69.0,1318099.0,258.0,15.0,1705.0,1415.0,780.0,378.0,0.0,780.0,280.0,141.0,37.0,39450.0,6132.0,661.0,85.0,4053543.0,6132.0,661.0,85.0,4053543.0,73.0,0.0,0.0,0.0,5154.0,573.0,73.0,2953341.0,48.0,2022
228246,0.7175452,1.5767113,0.859166,41.18332,66.0,137.0,71.0,3775.0,62.46154,140.53847,78.07692,124.84615,218.92308,94.07692,1180.0,987.0,0.0,1180.0,0.0,187.0,144.0,0.0,187.0,6968.0,6968.0,2298.0,2298.0,55012.0,55012.0,0.61290324,1.1935484,0.58064514,153.96774,-0.2037037,35344.0,1152.0,73.0,40715904.0,1179.0,75.0,1194.0,76.0,6002.0,173.0,11.0,34022.0,1146.0,73.0,38988920.0,12369.0,405.0,26.0,2257.0,82.0,5.0,185104.0,4932.0,173.0,11.0,853156.0,1568.0,23.0,6908.0,6894.0,6894.0,1568.0,14.0,6908.0,3958.0,174.0,11.0,688727.0,35270.0,4987.0,72.0,175891460.0,35283.0,4984.0,72.0,175848660.0,12.0,3.0,21.0,42794.0,4944.0,800.0,12.0,3955557.0,23.0,2022
228282,0.0,0.0,0.0,17.904762,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,4.0,3.0,0.0,4.0,730.0,750.0,350.0,508.0,10659.0,14880.0,0.0,0.0,0.0,28.096802,-0.75,5188.0,101.0,75.0,523993.0,101.0,75.0,101.0,75.0,4722.0,101.0,75.0,3040.0,0.0,0.0,0.0,4590.0,76.0,57.0,1077.0,101.0,75.0,108750.0,3646.0,101.0,75.0,368222.0,258.0,15.0,1705.0,1415.0,134.0,134.0,0.0,134.0,9404.0,5.0,4.0,47021.0,5195.0,101.0,75.0,524648.0,5195.0,101.0,75.0,524648.0,75.0,0.0,0.0,0.0,3646.0,101.0,75.0,368222.0,100.0,2022
228316,0.053691275,0.10738255,0.053691275,53.060402,1.0,2.0,1.0,1132.0,4.4166665,10.666667,6.25,0.0,0.0,0.0,135.0,38.0,0.0,135.0,0.0,19.0,5.0,0.0,19.0,1038.0,1038.0,126.0,202.0,3024.0,4848.0,0.0,0.0,0.0,36.666668,0.06382979,5820.0,487.0,90.0,2834579.0,487.0,90.0,487.0,90.0,6477.0,346.0,64.0,1774.0,302.0,56.0,535612.0,4312.0,22.0,4.0,1739.0,287.0,53.0,499000.0,5966.0,292.0,54.0,1741989.0,544.0,9.0,6315.0,3362.0,3362.0,544.0,2953.0,6315.0,1449.0,40.0,7.0,57978.0,4679.0,3464.0,55.0,16207645.0,5703.0,2542.0,76.0,14495973.0,61.0,922.0,31.0,1711672.0,4920.0,2063.0,33.0,10149739.0,9.0,2022
228325,0.23471883,0.6161369,0.38141808,16.342299,8.0,18.0,10.0,394.0,9.777778,25.333334,15.555555,3.2592592,5.111111,1.8518518,50.666668,22.666666,0.0,50.666668,0.6666667,58.0,22.0,0.0,58.0,960.0,960.0,903.0,903.0,16822.0,16822.0,0.0,0.0,0.0,18.576923,0.36585367,12672.0,270.0,96.0,3421412.0,277.0,99.0,278.0,99.0,5776.0,183.0,65.0,8253.0,245.0,87.0,2021974.0,5986.0,185.0,66.0,2739.0,134.0,48.0,366990.0,4859.0,142.0,51.0,689997.0,281.0,19.0,1518.0,1469.0,1469.0,281.0,49.0,1518.0,4281.0,80.0,28.0,342451.0,10486.0,1325.0,87.0,13894499.0,10575.0,1311.0,89.0,13863210.0,55.0,14.0,29.0,31289.0,4664.0,803.0,53.0,3744867.0,19.0,2022
228343,0.41095892,0.5753425,0.16438356,11.506849,11.0,15.0,4.0,357.0,14.666667,33.04762,18.380953,5.5238094,11.333333,5.8095236,222.0,170.0,0.0,222.0,0.0,69.0,48.0,1.0,70.0,0.0,0.0,2018.0,2018.0,48450.0,48450.0,0.0,0.3181818,0.3181818,31.59091,0.4871795,30609.0,347.0,98.0,10621465.0,349.0,98.0,351.0,99.0,5236.0,93.0,26.0,27820.0,346.0,97.0,9625652.0,7269.0,188.0,53.0,1470.0,41.0,12.0,60268.0,4638.0,92.0,26.0,426707.0,355.0,24.0,1504.0,1500.0,1500.0,355.0,4.0,1504.0,3687.0,138.0,39.0,508838.0,28809.0,1461.0,97.0,42090130.0,28809.0,1461.0,97.0,42090130.0,25.0,0.0,0.0,0.0,5018.0,371.0,25.0,1861768.0,24.0,2022
228431,0.6332454,1.7572559,1.1240106,45.831135,40.0,111.0,71.0,2878.0,52.296295,154.2963,102.0,15.851851,31.333334,15.481482,1014.0,582.0,0.0,1014.0,0.0,398.0,223.0,0.0,398.0,2758.0,2758.0,562.0,971.0,7842.0,20082.0,1.0,1.9411764,0.9411765,79.52941,-0.09803922,10363.0,1218.0,72.0,12621805.0,1473.0,87.0,1473.0,87.0,5321.0,682.0,40.0,5876.0,1072.0,63.0,6298788.0,7025.0,818.0,48.0,1746.0,39.0,2.0,68099.0,5252.0,678.0,40.0,3560644.0,1699.0,16.0,10372.0,9528.0,9528.0,1699.0,844.0,10372.0,4126.0,653.0,38.0,2694274.0,8620.0,6491.0,63.0,55953604.0,8636.0,6475.0,68.0,55914930.0,41.0,16.0,2.0,38679.0,5195.0,3948.0,38.0,20507922.0,16.0,2022
228459,0.91217715,2.506273,1.594096,78.9786,101.0,277.0,176.0,8716.0,190.25,507.33334,317.08334,84.25,162.66667,78.416664,2493.0,1513.0,2.0,2495.0,2.0,980.0,561.0,2.0,982.0,2529.0,2529.0,307.0,715.0,8606.0,20030.0,0.9411765,2.6176472,1.6764706,239.58824,-0.46031746,11791.0,4788.0,77.0,56453790.0,5131.0,83.0,5138.0,83.0,5111.0,2497.0,40.0,6437.0,2272.0,37.0,14624960.0,5703.0,3082.0,50.0,2006.0,33.0,1.0,66200.0,5086.0,2496.0,40.0,12695128.0,6196.0,19.0,33175.0,33175.0,33175.0,6196.0,0.0,33175.0,7892.0,3683.0,59.0,29067502.0,8408.0,18586.0,56.0,156270940.0,8408.0,18586.0,56.0,156270940.0,36.0,0.0,0.0,0.0,4790.0,12042.0,36.0,57682230.0,19.0,2022
